Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,time,Date,Time,Weekday,Sentiment_encode,Sentiment_Category
enjoying beautiful day park,Positive,2023-01-15 12:30:00,User123,Twitter,"['#Nature', '#Park']",15.0,30.0,USA,2023,1,15,12,2023-01-15 12:30:00,2023-01-15,12:30:00,6,146,positif
traffic terrible morning,Negative,2023-01-15 08:45:00,CommuterX,Twitter,"['#Traffic', '#Morning']",5.0,10.0,Canada,2023,1,15,8,2023-01-15 08:45:00,2023-01-15,08:45:00,6,134,négatif
finished amazing workout,Positive,2023-01-15 15:45:00,FitnessFan,Instagram,"['#Fitness', '#Workout']",20.0,40.0,USA,2023,1,15,15,2023-01-15 15:45:00,2023-01-15,15:45:00,6,146,positif
excited upcoming weekend getaway,Positive,2023-01-15 18:20:00,AdventureX,Facebook,"['#Travel', '#Adventure']",8.0,15.0,UK,2023,1,15,18,2023-01-15 18:20:00,2023-01-15,18:20:00,6,146,positif
trying new recipe dinner tonight,Neutral,2023-01-15 19:55:00,ChefCook,Instagram,"['#Cooking', '#Food']",12.0,25.0,Australia,2023,1,15,19,2023-01-15 19:55:00,2023-01-15,19:55:00,6,135,positif
feeling grateful little thing life,Positive,2023-01-16 09:10:00,GratitudeNow,Twitter,"['#Gratitude', '#PositiveVibes']",25.0,50.0,India,2023,1,16,9,2023-01-16 09:10:00,2023-01-16,09:10:00,0,146,négatif
rainy day call cozy blanket hot cocoa,Positive,2023-01-16 14:45:00,RainyDays,Facebook,"['#RainyDays', '#Cozy']",10.0,20.0,Canada,2023,1,16,14,2023-01-16 14:45:00,2023-01-16,14:45:00,0,146,positif
new movie release mustwatch,Positive,2023-01-16 19:30:00,MovieBuff,Instagram,"['#MovieNight', '#MustWatch']",15.0,30.0,USA,2023,1,16,19,2023-01-16 19:30:00,2023-01-16,19:30:00,0,146,positif
political discussion heating timeline,Negative,2023-01-17 08:00:00,DebateTalk,Twitter,"['#Politics', '#Debate']",30.0,60.0,USA,2023,1,17,8,2023-01-17 08:00:00,2023-01-17,08:00:00,1,134,neutre
missing summer vibe beach day,Neutral,2023-01-17 12:20:00,BeachLover,Facebook,"['#Summer', '#BeachDays']",18.0,35.0,Australia,2023,1,17,12,2023-01-17 12:20:00,2023-01-17,12:20:00,1,135,négatif
